Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,distance_from_0_3_0,fill_per_m_0_0_3_0,distance_from_0_4_0,fill_per_m_0_0_4_0,distance_from_0_5_0,fill_per_m_0_0_5_0,distance_from_0_6_0,fill_per_m_0_0_6_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_per_m_0_0_3_3,fill_per_m_0_0_4_4,fill_per_m_0_0_5_5,fill_per_m_0_0_6_6,fill_ratio_1,distance_from_100_0_0,fill_per_m_1_100_0_0,distance_from_36_1_0,fill_per_m_1_36_1_0,distance_from_214_2_0,fill_per_m_1_214_2_0,distance_from_53_3_0,fill_per_m_1_53_3_0,distance_from_207_4_0,fill_per_m_1_207_4_0,distance_from_101_5_0,fill_per_m_1_101_5_0,distance_from_291_6_0,fill_per_m_1_291_6_0,fill_per_m_1_36_1_1,fill_per_m_1_214_2_2,fill_per_m_1_53_3_3,fill_per_m_1_207_4_4,fill_per_m_1_101_5_5,fill_per_m_1_291_6_6,fill_ratio_2,distance_from_125_0_0,fill_per_m_2_125_0_0,distance_from_238_1_0,fill_per_m_2_238_1_0,distance_from_80_2_0,fill_per_m_2_80_2_0,distance_from_212_3_0,fill_per_m_2_212_3_0,distance_from_50_4_0,fill_per_m_2_50_4_0,distance_from_270_5_0,fill_per_m_2_270_5_0,distance_from_38_6_0,fill_per_m_2_38_6_0,fill_per_m_2_238_1_1,fill_per_m_2_80_2_2,fill_per_m_2_212_3_3,fill_per_m_2_50_4_4,fill_per_m_2_270_5_5,fill_per_m_2_38_6_6
1,76.718126,30.698031,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.4226408938911997,236.6074874565805,0.2687086178644779,372.1503269777324,0.4363132178155423,229.19314821738095,0.3410073329329507,293.2488258827623,0.28718553284249393,348.20695530942606,0.16221426400041522,616.4685985921931,0.15542258899244463,643.4071176414465,,,,,,,1.0,0.3482290484981946,287.1673125239535,0.37330486168264493,267.87757209819654,0.3228344121419727,309.75632162789094,0.3969126053784727,251.944631248599,0.12582393546425844,794.7613435474367,0.2411637787218898,414.6559675336654,0.16503177109979167,605.9439302722616,,,,,,
1,76.679274,30.692858,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.5676558316966737,176.163080543203,0.12365223198872544,808.7197326864101,0.3261018445673276,306.6526659261316,0.1837605628222616,544.1864046570363,0.10669511718860546,937.2500132618959,0.2685178372320736,372.4147379958686,0.21330533560484716,468.81152652108153,,,,,,,0.0,0.505640108444032,197.76912141665824,0.0885663993298657,1129.0963701431492,0.23807313746243233,420.03898913534454,0.17704789988736763,564.8188996515456,0.2225253422835506,449.3870180079357,0.26724435564661736,374.1893809433043,0.18846395481121345,530.6054417682743,0.0,,,,,
1,76.712171,30.668876,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.38456466718183946,260.03428950667353,0.252032923794602,396.7735583684951,0.14172686862385062,705.5825121304587,0.44680368372172163,223.81194167208795,0.35295952585198476,283.3186036235086,0.47854352619228235,208.9674074074074,0.199471120784386,501.32570372476545,,,,,,,1.0,0.34550842591082787,289.4285421155227,0.31265552664601254,319.8408199360558,0.14705110844859734,680.0356764053611,0.4410824300085784,226.7149929278642,0.3661106109051208,273.14149609806157,0.5388187418913458,185.5911686534565,0.18940398290004468,527.9720017966761,,,,,,
1,76.686186,30.684043,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.523912376231996,190.87161238527136,0.12605295167505995,793.3174009108537,0.1933679675332795,517.148736037625,0.2822081007650596,354.34843907351467,0.19306103425148063,517.9709120885592,0.32473541214319,307.9430091717427,0.2080439255629952,480.66772307524184,,,,,,,0.0,0.49260518148851273,203.0023307871599,0.10415269362374527,960.1287928399913,0.14371866722748303,695.8038362665612,0.26371821251150995,379.1926202125138,0.22244137005922673,449.55666283378054,0.34782361567405956,287.50204268392326,0.19113985926540633,523.1771143095041,0.0,,,,,
1,76.717988,30.674171,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.33401356369104246,299.3890394597822,0.3395679258600055,294.4918892051873,0.22479823242397276,444.84335540236157,0.445162181237917,224.6372315858408,0.383013164758953,261.08763144717074,0.43571055942553777,229.51015952389338,0.18150642894405747,550.9446722177606,,,,,,,1.0,0.29174977751864245,342.7594730337374,0.40975695829625314,244.0471064013031,0.22595666983766535,442.5627270566665,0.4965553748427287,201.38740826573965,0.3140439439040108,318.4267741541468,0.49847331758063035,200.61254328587918,0.1930447724552736,518.0145451655208,,,,,,
1,76.680322,30.696429,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.5721503105798798,174.779246206559,0.08816099744030649,1134.2884371029224,0.3331074231111758,300.20345708905035,0.19156813433630002,522.0074849424011,0.11598156124500802,862.2060172888396,0.27612203632860416,362.1587082640269,0.2214835020191893,451.5008977568723,,,,,,,0.0,0.5107792782448456,195.7792813044861,0.0980413023630956,1019.9782906764168,0.2471252457473801,404.6531130300764,0.18560298425536442,538.7844403536832,0.2286752885956412,437.3012957111716,0.2748617933537586,363.81920811851734,0.19417823756420238,514.9907695857852,0.0,,,,,
1,76.702839,30.705454,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.46893565219596633,213.24887440678194,0.1446478274928513,691.3342684316648,0.44898903760437736,222.72258702252347,0.13234762650503104,755.5858963303631,0.059789121296466546,1672.54506892895,0.14079291914202927,710.2629919841485,0.18208735678825266,549.1869494063164,,,,,,,0.0,0.43400688557642925,230.41109098346288,0.22042086976369665,453.6775492593125,0.3338173103137819,299.5650522317189,0.18015356230305413,555.0820018300838,0.08972806411321257,1114.4785189372526,0.1415537563165336,706.4453999820838,0.19447632211309845,514.2014149251785,,,,0.0,,
1,76.720789,30.68214,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.3077653496419087,324.9228677508759,0.3506960650197152,285.14719717308,0.28132292588718116,355.46338672768877,0.38703629194495853,258.3737031415681,0.29494648748692365,339.0445529697433,0.3771223947855476,265.1659020591059,0.1696225959604088,589.5440960197352,,,,,,,1.0,0.27287358171722864,366.4700678265998,0.4744588396234007,210.76643883244856,0.2332099460851372,428.79817811669716,0.5000804699444757,199.96781720170569,0.2495051098414742,400.79339482680774,0.5021002655508168,199.1634079107635,0.19521203830369357,512.2634898388227,,,,,,
1,76.711957,30.701618,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.38167458157178435,262.00330026743546,0.21410059651358082,467.07016060862213,0.4707896565703365,212.40908461857825,0.24423756298140964,409.43742960460014,0.17615248740371808,567.6899683557309,0.1229368158915851,813.4259804498881,0.1890962529680894,528.8312086061025,,,,,,,0.0,0.35029246539642095,285.47573778622797,0.2794058029767765,357.902373302933,0.36000028956969937,277.77755434454747,0.29837261828922224,335.15139751552795,0.055401922742804185,1804.9915065987198,0.17844732727167428,560.3894523326572,0.20091069670469683,497.7335783518899,,,,0.0,,
1,76.719086,30.677919,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.3316369347797633,301.5345684171426,0.3502767875703518,285.4885152214529,0.2220228975308547,450.4039948677047,0.4431757812800752,225.64409930334773,0.3459806133212199,289.0335358390636,0.43369032128916024,230.57927532887146,0.14374475489478994,695.6775575790036,,,,,,,1.0,0.2701046326309063,370.2268969842084,0.4354072511414119,229.67003819493564,0.23626648599123826,423.25088799817513,0.4599216217672829,217.42835141288333,0.3115958208541534,320.9285661337748,0.4618464310186861,216.52218851065246,0.20322906000015398,492.0556144870435,,,,,,
