Ward,x,y,fill_ratio_0,fill_ratio_0_0,distance_from_0,fill_p_m_0,fill_ratio_1,fill_ratio_1_1,fill_p_m_1
2,76.761523,30.688901,0.05808361216819946,0.05808361216819946,0.6455847991888198,0.08997053871339873,0.05808361216819946,0.05808361216819946,0.08997053871339873
2,76.737422,30.69957,0.0884925020519195,0.0884925020519195,1.0,0.0884925020519195,0.0884925020519195,0.0884925020519195,0.0884925020519195
2,76.704889,30.732946,0.07455064367977082,0.07455064367977082,1.0,0.07455064367977082,0.07455064367977082,0.07455064367977082,0.07455064367977082
2,76.727989,30.713761,0.07404465173409036,0.07404465173409036,1.0,0.07404465173409036,0.07404465173409036,0.07404465173409036,0.07404465173409036
2,76.727024,30.707493,0.06505159298527952,0.06505159298527952,1.0,0.06505159298527952,0.06505159298527952,0.06505159298527952,0.06505159298527952
2,76.744236,30.729776,0.06355835028602363,0.06355835028602363,1.0,0.06355835028602363,0.06355835028602363,0.06355835028602363,0.06355835028602363
2,76.7537,30.695318,0.046450412719997725,0.046450412719997725,0.8394026248302912,0.05533746422271312,0.046450412719997725,0.046450412719997725,0.05533746422271312
2,76.750081,30.70896,0.045227288910538066,0.045227288910538066,1.0,0.045227288910538066,0.045227288910538066,0.045227288910538066,0.045227288910538066
2,76.761229,30.756097,0.034388521115218396,0.034388521115218396,0.9469237435008665,0.036316040601200666,0.034388521115218396,0.034388521115218396,0.036316040601200666
2,76.727572,30.739281,0.020584494295802447,0.020584494295802447,1.0,0.020584494295802447,0.020584494295802447,0.020584494295802447,0.020584494295802447
2,76.761706,30.696475,0.0,0.8021969807540397,0.7337682941339785,0.0,0.0,0.0,0.0
2,76.764742,30.727141,0.0,0.9218742350231168,0.8670011561212692,0.0,0.0,0.0,0.0
2,76.75884,30.716926,0.0,0.5142344384136116,0.9136635944700461,0.0,0.0,0.0,0.0
2,76.756587,30.685461,0.0,0.6375574713552131,0.6666371171490626,0.0,0.0,0.0,0.0
2,76.760024,30.686268,0.0,0.5986584841970366,0.6206805846609791,0.0,0.0,0.0,0.0
2,76.729602,30.744926,0.0,0.9656320330745594,1.0,0.0,0.0,0.0,0.0
2,76.718283,30.735031,0.0,0.9695846277645586,1.0,0.0,0.0,0.0,0.0
2,76.74202,30.744061,0.0,0.9699098521619943,1.0,0.0,0.0,0.0,0.0
2,76.756675,30.701723,0.0,0.8872127425763265,0.900207255034524,0.0,0.0,0.0,0.0
2,76.724986,30.715899,0.0,0.9868869366005173,1.0,0.0,0.0,0.0,0.0
2,76.757627,30.748752,0.0,0.9488855372533332,0.9362678091428677,0.0,0.0,0.0,0.0
2,76.761443,30.701343,0.0,0.7851759613930136,0.7563601695354356,0.0,0.0,0.0,0.0
2,76.764892,30.731457,0.0,0.005522117123602399,0.9213808730132792,0.0,0.0,0.0,0.0
